rsp_id,rsp_id2,country,mig_ext_motivo,migrated_yn_5,CARI,income_per_capita_tier,mig_ext_intention,mig_ext_plan_12months,mig_ext_preparacion,motiv_cat
12,rsp12,GT,1 2 6,1,2,4,0,,,econ-1
15,rsp15,HND,1 8,1,2,4,1,0,,econ-1
24,rsp24,HND,1 2 6,1,2,5,1,1,1,econ-1
29,rsp29,GT,1 8,1,2,2,0,,,econ-1
31,rsp31,SLV,1,1,2,3,0,,,econ-1
32,rsp32,GT,1 7 8,1,1,5,0,,,econ-1
36,rsp36,SLV,11,1,2,4,1,0,,sec-1
38,rsp38,SLV,8 1 2,1,2,4,1,0,,econ-1
39,rsp39,SLV,1 2 8,1,2,4,1,0,,econ-1
41,rsp41-1,GT,1,1,2,3,0,,,econ-1
41,rsp41-2,GT,1,1,2,3,0,,,econ-1
43,rsp43,GT,1,1,2,4,1,1,1,econ-1
46,rsp46,HND,1 8,1,1,2,1,0,,econ-1
47,rsp47-1,HND,8,1,2,1,0,,,econ-1
47,rsp47-2,HND,8,1,2,1,0,,,econ-1
49,rsp49,HND,2 6,1,1,2,0,,,econ-1
50,rsp50-1,GT,1 2 8,1,1,2,0,,,econ-1
50,rsp50-2,GT,1 9,1,1,2,0,,,econ-oth-2
52,rsp52,GT,1 2,1,1,5,1,1,0,econ-1
53,rsp53,GT,1 8,1,1,1,1,0,,econ-1
56,rsp56,GT,1 8,1,1,1,1,1,1,econ-1
63,rsp63,HND,1,1,2,2,0,,,econ-1
69,rsp69-1,HND,1,1,2,1,1,1,1,econ-1
69,rsp69-2,HND,1,1,2,1,1,1,1,econ-1
71,rsp71-1,HND,16,1,2,1,1,0,,oth-1
71,rsp71-2,HND,1,1,2,1,1,0,,econ-1
72,rsp72,HND,1 6,1,1,2,1,0,,econ-1
78,rsp78-1,HND,16,1,1,1,0,,,oth-1
78,rsp78-2,HND,1,1,1,1,0,,,econ-1
80,rsp80,HND,1 2,1,1,4,99,,,econ-1
88,rsp88,HND,2 1,1,1,2,1,0,,econ-1
91,rsp91,GT,1 6 8,1,2,3,1,0,,econ-1
95,rsp95-1,HND,2,1,1,2,1,0,,econ-1
95,rsp95-2,HND,2,1,1,2,1,0,,econ-1
96,rsp96,HND,1,1,2,2,1,0,,econ-1
