event_index,country,event,priority,start_year,start_month,end_year,event_type,description,image
1,gtm,Brutal thirty-six year long civil war,primary,1960,,1996,Violence,"The civil war pitted state forces and military groups against leftist rebels who were mainly supported by Indigenous peoples. A majority of the human rights violations were perpetrated by government officials and, as a result, more than 200,000 citizens were killed. In 1996 the newly elected president, Alvaro Arzu, removed a number of senior military officers and signed a peace agreement with rebels.",01-gtmcivilwar.jpg
2,slv,Decades-long military dictatorship continues,primary,1962,,,Violence,"The right-wing national party (PCN) overthrew the president after a coup, which marked the start of a military regime lasting more than fifeteen years. ",02-slvdict.jpg
3,hnd,Military coup leads to right-wing party coming to power in Honduras,primary,1963,,,Violence,The right-wing national party (PNH) staged a violent coup in 1959 against the president who institued progressive labor laws and agrarian reform policies. This shift in power initiated a two decades long military dictatorship.,03-honcoup.jpg
4,slv,"Short four day war with Honduras about immigration 
",secondary,1969,,,Violence,"Due to the increase in violence during the military regime, thousands of Salvadoran immigrants illegally fled to Honduras. The president of Honduras blamed the immigrants for stealing jobs, causing prosecution and ultimately attacks on thousands of Salvadorans. In turn, El Salvador declared war which lasted a total of four days.    ",
5,hnd,Short four day war with El Salvador ,secondary,1969,,,Violence,"Due to the increase in violence during the military regime, thousands of Salvadoran immigrants illegally fled to Honduras. The president of Honduras blamed the immigrants for stealing jobs, causing prosecution and ultimately attacks on thousands of Salvadorans. In turn, El Salvador declared war which lasted a total of four days.    ",
6,gtm,Military groups clash with left-wing party  ,secondary,1970,,,Violence,"Military groups initiate a program to eliminate left-wingers, resulting in at least 50,000 deaths. This initiative is the mark of a new surge of violence in Guatemala.",
7,slv,"Left-wing party opposes military regime 
",secondary,1977,,,Violence,"The government troops are accused human rights violations, which sparked guerrilla activities led by the left-wing party (FMLN). The tensions between the oppositional parties fuel the civil war that will start in two years. ",
8,slv,"Civil War in El Salvador
",primary,1979,,1992,Violence,"When the president tries to start negotiations, the left-wing protestors took to the streets and went on strikes. order soliders to go to the scene and fire live ammuition into the crowds to end the protests. It has been reported that more than 30,000 people were killed by army-backed right-wing death squads between 1979 and 1981.",08-civilwarslv.jpg
9,gtm,Anti-government guerilla activity sparks continued violence  ,secondary,1981,,,Violence,"Soldiers killed around 11,000 people in response to growing anti-government guerrilla activity.",
10,hnd,"Centrist political party comes to power 
",secondary,1981,,,Policy,"The nominee from the centrist political party (PLH), Roberto Suazo Cordova, is elected president marking  the first civilian government in more than a century. However, the country continues to see power struggles with military forces and multiple regional conflicts ensue. ",
