event_index,country,event,priority,start_year,start_month,end_year,event_type,description,image
1,gtm,La Guerra Civil Guatemalteca Duró 30 Años,primary,1960,,1996,Violencia,"Fuerzas estatales y grupos militares se enfrentaron los rebeldes izquierdistas apoyados por los pueblos indígenas. Más de 200.000 civiles fueron asesinados; Los funcionarios del gobierno fueron responsables de la mayoría de estas violaciones de derechos humanos. Alvaro Arzu, el presidente recientemente elegido, en 1996, firmó un acuerdo de paz con los rebeldes y separó de sus cargos a varios oficiales militares principales.",01-gtmcivilwar.jpg
2,slv,Décadas de una Dictadura Armada en El Salvador continúan,primary,1962,,1979,Violencia,"El Salvador fue gobernado por una dictadura militar autoritaria desde 1931 hasta 1979. Después de un derrocamiento presidencial en un golpe militar dos años antes, el Partido Nacional de Conciliación Nacional (PCN) gobernó el país durante los próximos diecisiete años.",02-slvdict.jpg
3,hnd,El Golpe de Estado Hondureño Causa Dos Décadas de Dictadura,primary,1963,,1982,Violencia,"Un intento de golpe violento en 1959 contra el presidente, que instituyó las leyes laborales progresivas y las políticas de reforma agraria, precedieron al levantamiento militar por el Partido Nacional de la Derecha (PNH) en 1963. Esta transición militar en el poder inició una era militar de dos décadas.",03-honcoup.jpg
4,hnd-slv,Guerra de 100 Horas entre Honduras y El Salvador,secondary,1969,,,Violencia,"Debido al aumento de la violencia durante el régimen militar, miles de inmigrantes salvadoreños huyeron ilegalmente a Honduras. El presidente de Honduras culpó a los inmigrantes por robar empleos, causando juicios civiles y, en última instancia, ataques a miles de salvadoreños. A su vez, El Salvador declaró la guerra, que duró cuatro días.",
5,gtm,Grupos Militares Guatemaltecos Causan una Oleada de Violencia.,secondary,1970,,,Violencia,"Los grupos militares iniciaron un programa para eliminar a los miembros del partido de izquierda, lo que marcó una nueva oleada de violencia en Guatemala y dio lugar a, al menos, 50,000 muertes.",
6,slv,El Partido de Izquierda se Opone al Régimen Militar Salvadoreño.,secondary,1977,,,Violencia,"Actividades de guerrilla lideradas por Farabundo Martí; El Frente Nacional de Liberación (FMLN), del partido de izquierda, se desplaza por acusaciones de tropas gubernamentales que violan los derechos humanos. Las tensiones entre los dos partidos de oposición se intensifican antes de la Guerra Civil Salvadoreña en 1979.",
7,slv,Guerra Civil Salvadoreña,primary,1979,,1992,Violencia,"La guerra comenzó cuando se ordenó a los soldados que dispararan a multitudes pacíficas de manifestantes de izquierda. Durante más de doce años, los escuadrones de la muerte del gobierno, respaldados por la derecha aterrorizaron y atacaron civiles, se estima que mataron a más de 30,000 personas.",07-civilwarslv.jpg
8,gtm,"La Violencia Guatemalteca Causa 11,000 Muertes",secondary,1981,,,Violencia,"Soldados guatemaltecos matan a unas 11,000 personas en respuesta al creciente malestar provocado por la guerrilla contra el gobierno.",
9,hnd,Honduras Sigue Luchando Después de la Elección del Primer Gobierno Civil.,secondary,1981,,,Políticas Públicas,"El candidato del Partido Liberal Centrista, Roberto Suazo Cordova, fue elegido presidente en 1981. A pesar de que las elecciones marcan el primer gobierno civil en más de un siglo, Honduras continuó luchando contra las fuerzas militares en el poder y los múltiples conflictos regionales.",
10,gtm,Dos Intentos de Golpe de Estado Hacia el Presidente Guatemalteco.,secondary,1989,,,Políticas Públicas,"El presidente de Guatemala, Cerezo, anunció que su mandato se centraría en el final de la agitación política a largo plazo, que había llevado a la insetabilidad económica y disminuiría la violencia. Sin embargo, los grupos militares que gobernaban el país estaban insatisfechos con los cambios de política pública y provocaron dos intentos de golpe para derrocarlo. El malestar social en Guatemala llevó a los ciudadanos a huir del país.",
11,nt,El Huracán Mitch desplaza a Millones de Familias,primary,1998,Octubre,,Clima,La tormenta mortal destruyó a cientos de miles de hogares y causó un estimado de $ 6mil millones de dólares en daños en centroamérica. El daño en Honduras dejó a casi medio millón de personas sin hogar y miles de ciudadanos se quedaron sin empleo ya que el huracán devastó los campos agrícolas. La pobreza extrema provocada por la tormenta catalizó una migración masiva al norte de Honduras.,11-mitchnt.png
12,slv,Terremoto Destruye 100.000 Casas en El Salvador,secondary,2001,Enero,,Clima,"Un terremoto masivo y sus respectivas réplicas mataron a más de 1,200 personas. El Salvador sufrió un daño extenso a su infraestructura de agua y saneamiento, con más de 100,000 hogares destruidos y un millón de personas quedaron sin hogar.",
