year,country,mig_stock,pop,pct_mig_pop
1960,gtm,33173,4128880,0.008034382
1970,gtm,53666,5455197,0.009837592
1980,gtm,97580,6890346,0.014161843
1990,gtm,306249,9050115,0.033839239
2000,gtm,566110,11589761,0.048845701
2010,gtm,924898,14259687,0.064861031
2020,gtm,1368431,16858333,0.081172379
1960,slv,64580,2766319,0.023345102
1970,slv,73290,3673066,0.019953358
1980,slv,159304,4591135,0.034698174
1990,slv,568640,5270074,0.107899813
2000,slv,935258,5887930,0.158843261
2010,slv,1337085,6183877,0.216221151
2020,slv,1599058,6486201,0.246532292
1960,hnd,47559,2038636,0.023328834
1970,hnd,73084,2716652,0.026902231
1980,hnd,81455,3678274,0.022144897
1990,hnd,154467,4955302,0.031172066
2000,hnd,340999,6574510,0.051866831
2010,hnd,587503,8317467,0.070634846
2020,hnd,985077,9904608,0.099456435
